,title,price,rating,reviews,brand,model,storage_gb,has_5g,has_lte,year,is_unlocked,dual_sim,ram_gb,is_premium,us_version
0,"SAMSUNG Galaxy S25 Ultra, 512GB Smartphone, Unlocked Android, AI Night Mode Camera, Snapdragon 8 Elite Fast Processor, 5000mAh Battery, Built-in S Pen, 2025, US 1 Yr Warranty, Titanium Black","359,957..82",4.6 out of 5 stars,3K+ bought in past month,SAMSUNG,S25 U,512.0,0,0,2025.0,1,0,,1,0
1,"SAMSUNG Galaxy A36 5G 2025 | 256GB, Dual SIM | 6.7"" 120Hz AMOLED, IP67 Water Resistant, Android 15 | International Model Factory Unlocked for T-Mobile & Global | 25W Fast Charger Bundle (Black)","78,294..94",4.5 out of 5 stars,500+ bought in past month,SAMSUNG,A36 5G 2025 ,256.0,1,0,2025.0,1,1,,0,0
2,"Samsung Galaxy S22 Ultra 5G, US Version, 128GB, Black - Unlocked (Renewed)","75,630..95",3.7 out of 5 stars,1K+ bought in past month,SAMSUNG,S22 U,128.0,1,0,,1,0,,1,1
3,Motorola Moto G - 2025 | Unlocked | Made for US 4/128GB | 50MP Camera | Forest Gray,"42,015..95",4.3 out of 5 stars,Products highlighted as 'Overall Pick' are:,MOTOROLA,G ,128.0,0,0,2025.0,1,0,,0,0
4,"SAMSUNG Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked 6.7"" Dual Sim 50MP Dual Cam (Case Bundle) (Gray)","35,561..87",4.2 out of 5 stars,2K+ bought in past month,SAMSUNG,A16 4G LTE ,128.0,0,1,,1,1,4.0,0,0
5,Motorola Moto G Play | 2024 | Unlocked | Made for US 4/64GB | 50MP Camera | Sapphire Blue,"26,609..07",4.3 out of 5 stars,6K+ bought in past month,MOTOROLA,G P,64.0,0,0,2024.0,1,0,,0,0
6,"SAMSUNG Galaxy S25 Ultra, 256GB Smartphone, Unlocked Android, AI Night Mode Camera, Snapdragon 8 Elite Fast Processor, 5000mAh Battery, Built-in S Pen, 2025, US 1 Yr Warranty, Titanium Silverblue","312,333..77",4.6 out of 5 stars,500+ bought in past month,SAMSUNG,S25 U,256.0,0,0,2025.0,1,0,,1,0
7,"Apple iPhone 14 Pro, 128GB, Space Black - Unlocked (Renewed)",,4.0 out of 5 stars,1K+ bought in past month,APPLE,,128.0,0,0,,1,0,,1,0
8,"Samsung Galaxy S21 5G, US Version, 128GB, Phantom Gray - Unlocked (Renewed)",,4.0 out of 5 stars,2K+ bought in past month,SAMSUNG,S21 5G,128.0,1,0,,1,0,,0,1
9,"Samsung Galaxy A16 4G Dual SIM (128GB, 2025) 6.7"" 90Hz AMOLED, Splash Resistant, 8Core, 50MP Camera (Factory Unlocked International Model for GSM, Global) A165M/DS (25W Fast Charger Bundle, Grey)","35,853..20",4.4 out of 5 stars,1K+ bought in past month,SAMSUNG,A16 4G D,128.0,0,0,2025.0,1,1,,0,0
10,Samsung Galaxy S22+ 5G S906U 128GB GSM/CDMA Unlocked Android Smartphone (USA Version) - Phantom Black (Renewed),,4.1 out of 5 stars,1K+ bought in past month,SAMSUNG,S22,128.0,1,0,,1,0,,0,0
11,Motorola razr+ | 2023 | Unlocked | Made for US 8/256 | 32 MPCamera |Blue,,4.0 out of 5 stars,,MOTOROLA,,,0,0,2023.0,1,0,,0,0
12,Motorola Moto G Power 5G | 2024 | Unlocked | Made for US 8/128GB | 50MP Camera | Midnight Blue,"36,133..32",4.3 out of 5 stars,3K+ bought in past month,MOTOROLA,G P,128.0,1,0,2024.0,1,0,,0,0
13,"SAMSUNG Galaxy S25 Edge Phone, 512 GB AI Smartphone, Unlocked Android, Night Video, Fast Processor, ProScaler Display, All-Day Battery, 2025, US 1 Yr Manufacturer Warranty, Titanium JetBlack","224,307..29",4.4 out of 5 stars,200+ bought in past month,SAMSUNG,S25 E,,0,0,2025.0,1,0,,1,0
14,"SAMSUNG Galaxy A16 5G Dual SIM (128GB, 2025) 6.7"" 90Hz AMOLED, Water Resistant, 8Core, 50MP Camera (Factory Unlocked International Model for GSM, Global) A166M/DS Blue Black","51,260..07",4.2 out of 5 stars,1K+ bought in past month,SAMSUNG,A16 5G D,128.0,1,0,2025.0,1,1,,0,0
15,"Samsung Galaxy A36 5G A Series Cell Phone, 256GB Unlocked Android Smartphone, AMOLED Display, Rugged Design, US Version, 2025, US 1 Yr Manufacturer Warranty, Awesome Black","105,044..07",4.4 out of 5 stars,200+ bought in past month,SAMSUNG,A36 5G A S,256.0,1,0,2025.0,1,0,,0,1
16,"Huness I17PROMAX Smartphone Unlocked Cell Phone,6.99"" HD Screen Unlocked Phone,16+512GB Android 15 Battery 7000mAh,Face ID/Dual SIM/5G/Fingerprint Button Unlock/Photos/GPS (Purple, 16+512G)","53,220..95",4.6 out of 5 stars,,Huness,,512.0,1,0,,1,1,,0,0
17,Motorola Moto G Stylus 5G | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Scarlet Wave,"68,202..03",4.5 out of 5 stars,500+ bought in past month,MOTOROLA,G S,256.0,1,0,2024.0,1,0,,0,0
18,Google Pixel Fold - Unlocked Android 5G Smartphone with Telephoto Lens and Ultrawide Lens - Foldable Display - 24-Hour Battery - Obsidian - 256 GB (Renewed),,4.0 out of 5 stars,500+ bought in past month,GOOGLE,,,1,0,,1,0,,1,0
19,"Symphonized NRG 3.0 Wired Earbuds with Microphone, Wooden Phone & Laptop Headphones, 90% Noise Cancelling Corded Earphones with 3.5mm Jack (Blue)","9,790..37",4.1 out of 5 stars,100+ bought in past month,Symphonized,,,0,0,,0,0,,0,0
20,"$13/mo. Ultra Mobile Prepaid Phone Plan with Unlimited Talk, Text, & 500MB of 5G • 4G LTE Data for 3 Months (3-in-1 SIM Card Kit)","10,924..88",3.9 out of 5 stars,,$13/mo.,,,1,1,,0,0,,1,0
21,"Plantronics - Voyager Legend (Poly) - Bluetooth Single-Ear (Monaural) Headset - Connect to your PC, Mac, Tablet and/or Cell Phone - Noise Canceling,Black","17,928..00",4.2 out of 5 stars,100+ bought in past month,Plantronics,,,0,0,,0,0,,0,0
22,"2 Pack Memory Card 64GB with Adapter, High Speed TF Card, UHS-I C10 A1 Memory TF Card for Tablet/Mobile Phone/Camera/Car Audio/Game Console (TF162 Red Gold 64GB)","4,759..32",4.5 out of 5 stars,4K+ bought in past month,2,,64.0,0,0,,0,0,64.0,0,0
23,"2026 Upgraded Vacuum Magnetic Mobile Phone Holder Cars for Magsafe Car Mount, Exclusive Metal Adjustable Telescopic Rod,Suction Cup Mobile Phone Holder for iPhone17 Pro Max 16 15 14 13 12 & Samsun","6,720..20",,New on Amazon in past month,2026,,,0,0,2026.0,0,0,,1,0
24,"OUKITEL C68 Unlocked Cell Phone -7.2''120Hz Display, 24GB+512GB Smartphone, 6000mAh Battery Phones, 64MP+8MP Camera, Android 15 Mobile Phone, 4G Dual SIM/Fingerprint/Face ID/GPS/NFC/BT5.0, Blue","70,028..45",5.0 out of 5 stars,"Save PKR 16,807.50",OUKITEL,,24.0,0,0,,1,1,,0,0
25,Nokia C21 Plus | Android 11 (Go Edition) | Unlocked GSM Smartphone | 2-Day Battery | Dual SIM | 2/64GB | 6.52-Inch Screen | Cyan | Not Compatible with Verizon or AT&T,,3.7 out of 5 stars,50+ bought in past month,NOKIA,,64.0,0,0,,1,1,,1,0
26,"LG Aristo 3+ Smartphone, Metro by T-Mobile Unlocked, 16GB Storage, Android 8.1 Oreo, 2GB RAM, 5.0"" HD Display",,2.7 out of 5 stars,No featured offers available,LG,,16.0,0,0,,1,0,,0,0
27,Motorola Moto G35 Dual-SIM 128GB ROM + 4GB RAM (GSM Only | No CDMA) Factory Unlocked 5G Smartphone (Midnight Black) - International Version,"37,816..88",4.3 out of 5 stars,,MOTOROLA,G35 D,128.0,1,0,,1,0,,0,0
28,"Bigme HiBreakS Color Epaper Smart Phone,3300mAh Battery, 8-Core Processor, 6GB+128GB, 5.84 Inch Mobile Phone, Dual Camera, White","85,970..36",3.2 out of 5 stars,New on Amazon in past month,Bigme,,6.0,0,0,,0,0,,1,0
29,"Tracfone Motorola Moto g Power 2025, 128GB, Slate Gray - 6.7"" 120Hz Display, 50MP Camera, Long-Lasting Battery, 5G, Prepaid Smartphone (Locked to Tracfone)",,4.7 out of 5 stars,No featured offers available,Tracfone,,128.0,1,0,2025.0,0,0,,0,0
30,"Motorola Moto G15 4G LTE (XT2521-2) 4+128GB Dual Sim | GSM Unlocked | International Model | for T-Mobile, Metro PCS, Mint, Ultra, & Tello - (Orange)",,3.9 out of 5 stars,No featured offers available,MOTOROLA,G15 4G LTE ,128.0,0,1,,1,1,,1,0
31,"TCL 50 XE 5G T614SP Smartphone 128GB Storage 4GB RAM 6.52"" HD+ Display Verizon Prepaid & Postpaid Locked Blue","22,129..88",5.0 out of 5 stars,Only 6 left in stock - order soon.,TCL,,128.0,1,0,,0,0,,0,0
32,"I25 Ultra 5G Unlocked Smartphone,12GB+512GB Fully Cell Phone for Android 14, 6.99"" Unlocked Cell Phone, 7000mAh, 68MP+108MP Dual Camera/Dual SIM (Desert Titanium)","55,711..26",3.7 out of 5 stars,,I25,,12.0,1,0,,1,1,,1,0
